index,Ultrasonic Sensor Data Capture Start,index,Ultrasonic Sensor Data Capture Start
668,4199,100669.0,2747.0
669,4205,100670.0,2771.0
670,4205,100671.0,2740.0
671,4256,100672.0,2765.0
672,4205,100673.0,2740.0
673,4205,100674.0,2740.0
674,4257,100675.0,2741.0
675,4205,100676.0,2740.0
676,4205,100677.0,2741.0
677,4199,100678.0,2746.0
678,4205,100679.0,2771.0
679,4205,100680.0,2740.0
680,4205,100681.0,2741.0
681,4205,100682.0,2740.0
682,4205,100683.0,2740.0
683,4181,100684.0,2741.0
684,4158,100685.0,2741.0
685,4257,100686.0,2740.0
686,4199,100687.0,2747.0
687,4251,100688.0,2796.0
688,4257,100689.0,2740.0
689,4180,100690.0,2741.0
690,4257,100691.0,2741.0
691,4257,100692.0,2740.0
692,4229,100693.0,2740.0
693,4257,100694.0,2740.0
694,4229,100695.0,2740.0
695,4251,100696.0,2747.0
696,4223,100697.0,2747.0
697,4257,100698.0,2747.0
698,4157,100699.0,2740.0
699,4257,100700.0,2740.0
700,4205,100701.0,2740.0
701,4258,100702.0,2740.0
702,4257,100703.0,2741.0
703,4205,100704.0,2741.0
704,4251,100705.0,2747.0
705,4251,100706.0,2796.0
706,4257,100707.0,2747.0
707,4180,100708.0,2741.0
708,4160,100709.0,2741.0
709,4159,100710.0,2740.0
710,4257,100711.0,2740.0
711,4205,100712.0,2765.0
712,4205,100713.0,2765.0
713,4223,100714.0,2746.0
714,4223,100715.0,2771.0
715,4159,100716.0,2746.0
716,4256,100717.0,2740.0
717,4257,100718.0,2740.0
718,4158,100719.0,2740.0
719,4158,100720.0,2741.0
720,4183,100721.0,2741.0
721,4205,100722.0,2740.0
722,4159,100723.0,2747.0
723,4251,100724.0,2747.0
724,4257,100725.0,2746.0
725,4257,100726.0,2740.0
726,4205,100727.0,2741.0
727,4257,100728.0,2741.0
728,4257,100729.0,2741.0
729,4257,100730.0,2740.0
730,4159,100731.0,2740.0
731,4252,100732.0,2746.0
732,4153,100733.0,2746.0
733,4257,100734.0,2747.0
734,4159,100735.0,2740.0
735,4258,100736.0,2740.0
736,4257,100737.0,2740.0
737,4160,100738.0,2740.0
738,4257,100739.0,2740.0
739,4158,100740.0,2740.0
740,4205,100741.0,2740.0
741,4199,100742.0,2746.0
742,4257,100743.0,2746.0
743,4158,100744.0,2765.0
744,4158,100745.0,2740.0
745,4159,100746.0,2740.0
746,4159,100747.0,2740.0
747,4159,100748.0,2740.0
748,4159,100749.0,2741.0
749,4257,100750.0,2741.0
750,4158,100751.0,2747.0
751,4152,100752.0,2795.0
752,4257,100753.0,2740.0
753,4204,100754.0,2740.0
754,4159,100755.0,2740.0
755,4205,100756.0,2740.0
756,4257,100757.0,2740.0
757,4282,100758.0,2740.0
758,4159,100759.0,2740.0
759,4158,100760.0,2747.0
760,4153,100761.0,2771.0
761,4183,100762.0,2746.0
762,4205,100763.0,2741.0
763,4257,100764.0,2740.0
764,4182,100765.0,2741.0
765,4183,100766.0,2740.0
766,4257,100767.0,2740.0
767,4182,100768.0,2741.0
768,4158,100769.0,2747.0
769,4223,100770.0,2771.0
770,4257,100771.0,2790.0
771,4156,100772.0,2741.0
772,4257,100773.0,2766.0
773,4257,100774.0,2790.0
774,4183,100775.0,2740.0
775,4182,100776.0,2741.0
776,4159,100777.0,2741.0
777,4251,100778.0,2747.0
778,4251,100779.0,2796.0
779,4257,100780.0,2790.0
780,4257,100781.0,2765.0
781,4229,100782.0,2740.0
782,4205,100783.0,2740.0
783,4257,100784.0,2740.0
784,4257,100785.0,2740.0
785,4159,100786.0,2741.0
786,4159,100787.0,2747.0
787,4251,100788.0,2746.0
788,4159,100789.0,2746.0
789,4258,100790.0,2740.0
790,4257,100791.0,2741.0
791,4257,100792.0,2740.0
792,4205,100793.0,2765.0
793,4257,100794.0,2740.0
794,4159,100795.0,2740.0
795,4251,100796.0,2771.0
796,4251,100797.0,2746.0
797,4257,100798.0,2796.0
798,4257,100799.0,2764.0
799,4230,100800.0,2740.0
800,4205,100801.0,2740.0
801,4257,100802.0,2765.0
802,4257,100803.0,2740.0
803,4159,100804.0,2765.0
804,4253,100805.0,2765.0
805,4224,100806.0,2746.0
806,4257,100807.0,2795.0
807,4258,100808.0,2790.0
