index,[2023-01-12 17:02:45.931] Ultrasonic Sensor Data Capture Start,index,[2023-01-12 17:02:45.931] Ultrasonic Sensor Data Capture Start,,,,,,,,,,,,
530,9091,100535,9127,,,,,,,,,,,,
531,9116,100536,9152,,,,,,,,,,,,
532,9141,100537,9128,,,,,,,,,,,,
533,9116,100538,9153,,,,,,,,,,,,
534,9092,100539,9152,,,,,,,,,,,,
535,9091,100540,9152,,,,,,,,,,,,
536,9166,100541,9128,,,,,,,,,,,,
537,9091,100542,9128,,,,,,,,,,,,
538,9098,100543,9152,,,,,,,,,,,,
539,9167,100544,9153,,,,,,,,,,,,
540,9192,100545,9153,,,,,,,,,,,,
541,9089,100546,9128,,,,,,,,,,,,
542,9166,100547,9127,,,,,,,,,,,,
543,9191,100548,9152,,,,,,,,,,,,
544,9167,100549,9152,,,,,,,,,,,,
545,9167,100550,9203,,,,,,,,,,,,
546,9142,100551,9152,,,,,,,,,,,,
547,9116,100552,9127,,,,,,,,,,,,
548,9166,100553,9127,,,,,,,,,,,,
549,9191,100554,9178,,,,,,,,,,,,
550,9089,100555,9203,,,,,,,,,,,,
551,9166,100556,9152,,,,,,,,,,,,
552,9191,100557,9178,,,,,,,,,,,,
553,9191,100558,9178,,,,,,,,,,,,
554,9185,100559,9128,,,,,,,,,,,,
555,9166,100560,9146,,,,,,,,,,,,
556,9166,100561,9127,,,,,,,,,,,,
557,9142,100562,9128,,,,,,,,,,,,
558,9115,100563,9153,,,,,,,,,,,,
559,9190,100564,9127,,,,,,,,,,,,
560,9141,100565,9128,,,,,,,,,,,,
561,9191,100566,9152,,,,,,,,,,,,
562,9167,100567,9128,,,,,,,,,,,,
563,9191,100568,9202,,,,,,,,,,,,
564,9191,100569,9153,,,,,,,,,,,,
565,9167,100570,9152,,,,,,,,,,,,
566,9116,100571,9152,,,,,,,,,,,,
567,9167,100572,9177,,,,,,,,,,,,
568,9167,100573,9152,,,,,,,,,,,,
569,9091,100574,9152,,,,,,,,,,,,
570,9185,100575,9153,,,,,,,,,,,,
571,9090,100576,9128,,,,,,,,,,,,
572,9166,100577,9153,,,,,,,,,,,,
573,9192,100578,9128,,,,,,,,,,,,
574,9090,100579,9153,,,,,,,,,,,,
575,9191,100580,9128,,,,,,,,,,,,
576,9166,100581,9202,,,,,,,,,,,,
577,9165,100582,9153,,,,,,,,,,,,
578,9191,100583,9152,,,,,,,,,,,,
579,9166,100584,9127,,,,,,,,,,,,
580,9166,100585,9152,,,,,,,,,,,,
581,9191,100586,9153,,,,,,,,,,,,
582,9091,100587,9153,,,,,,,,,,,,
583,9166,100588,9153,,,,,,,,,,,,
584,9166,100589,9153,,,,,,,,,,,,
585,9166,100590,9127,,,,,,,,,,,,
586,9094,100591,9178,,,,,,,,,,,,
587,9141,100592,9127,,,,,,,,,,,,
588,9166,100593,9152,,,,,,,,,,,,
589,9140,100594,9228,,,,,,,,,,,,
590,9116,100595,9152,,,,,,,,,,,,
591,9116,100596,9128,,,,,,,,,,,,
