Channel1,Channel2,LabelObject,Grid
5945,5990,No,0
5997,5996,No,0
6021,5990,No,0
6021,5990,No,0
5946,5996,No,0
5946,5990,No,0
5921,5990,No,0
5946,5996,No,0
5951,5966,No,0
5969,5966,No,0
6022,6041,No,0
5945,6040,No,0
5946,5966,No,0
5945,5996,No,0
5970,5990,No,0
5970,5991,No,0
5945,5997,No,0
6022,5990,No,0
6021,5991,No,0
6022,5973,No,0
5970,5966,No,0
6021,6040,No,0
5946,6046,No,0
5946,6015,No,0
5976,5966,No,0
5946,5996,No,0
5921,5990,No,0
5922,5990,No,0
5946,5997,No,0
5970,5990,No,0
5946,6067,No,0
5953,5990,No,0
5970,5990,No,0
5945,5990,No,0
5922,5991,No,0
6022,5990,No,0
5970,5991,No,0
5946,5990,No,0
5952,5990,No,0
5946,5990,No,0
5922,5991,No,0
5921,5991,No,0
5946,5990,No,0
5922,5989,No,0
5921,5990,No,0
5922,5990,No,0
5922,6014,No,0
5922,6015,No,0
5921,5990,No,0
5951,5990,No,0
5946,5990,No,0
5946,5991,No,0
5945,5990,No,0
5946,5991,No,0
6022,5991,No,0
5946,5991,No,0
6022,5991,No,0
6022,5990,No,0
6021,5990,No,0
6022,5990,No,0
6022,5990,No,0
6022,5996,No,0
6022,5991,No,0
5944,5990,No,0
5921,5995,No,0
5952,5966,No,0
5947,5990,No,0
5945,5996,No,0
5995,5966,No,0
5971,5966,No,0
5922,5972,No,0
5922,5966,No,0
5996,6040,No,0
5946,6044,No,0
5947,6041,No,0
5952,5966,No,0
5996,6015,No,0
5945,6040,No,0
5921,6016,No,0
5921,5990,No,0
6022,5990,No,0
5946,5990,No,0
5951,5991,No,0
5969,6015,No,0
5945,5991,No,0
5946,5991,No,0
5945,5990,No,0
5945,6015,No,0
5945,5990,No,0
5976,5990,No,0
6022,5990,No,0
5946,5991,No,0
5927,5990,No,0
5921,5990,No,0
5921,5990,No,0
5945,6066,No,0
5952,6016,No,0
5946,5967,No,0
5945,6040,No,0
5945,6041,No,0
5922,6040,No,0
5922,5966,No,0
5946,5972,No,0
5951,6015,No,0
5946,5965,No,0
5945,5990,No,0
5946,5990,No,0
5945,6015,No,0
5946,6046,No,0
5945,6015,No,0
5976,6040,No,0
5946,5990,No,0
5946,5991,No,0
5946,5991,No,0
5946,5991,No,0
5946,5991,No,0
5922,6040,No,0
5952,6040,No,0
5970,6040,No,0
5921,6015,No,0
5945,5990,No,0
6022,5990,No,0
6022,5990,No,0
5946,5989,No,0
5946,5990,No,0
5970,5990,No,0
5946,5965,No,0
5976,5990,No,0
5946,5991,No,0
5946,6040,No,0
5921,5990,No,0
5946,5990,No,0
5946,5990,No,0
5947,5990,No,0
5952,6016,No,0
5921,5966,No,0
5945,5991,No,0
6021,5990,No,0
6021,6015,No,0
5996,5966,No,0
5946,5990,No,0
5946,6040,No,0
5946,5966,No,0
6022,6040,No,0
5976,6065,No,0
5922,6015,No,0
5946,6040,No,0
5921,6040,No,0
5946,5990,No,0
6022,5990,No,0
6021,5990,No,0
5945,5966,No,0
5946,5991,No,0
5945,5990,No,0
5952,5990,No,0
5945,5990,No,0
5922,5990,No,0
5922,6015,No,0
5951,6014,No,0
5922,5990,No,0
5921,5990,No,0
5921,5990,No,0
5921,6013,No,0
5921,5989,No,0
5921,6066,No,0
5945,5990,No,0
5946,5989,No,0
5921,6066,No,0
5922,6065,No,0
5951,6020,No,0
5945,6014,No,0
5945,5990,No,0
6021,5990,No,0
5921,6014,No,0
5945,5989,No,0
5946,5990,No,0
5952,5990,No,0
6021,5990,No,0
5945,5990,No,0
5951,5990,No,0
5922,5990,No,0
5946,6015,No,0
6022,6015,No,0
5945,6015,No,0
5920,5990,No,0
5945,6015,No,0
5975,6040,No,0
6022,6015,No,0
5945,5989,No,0
5945,5990,No,0
5920,5990,No,0
5946,5989,No,0
5945,5965,No,0
6021,5966,No,0
5946,6040,No,0
6022,5991,No,0
5975,6065,No,0
5944,5966,No,0
5945,6015,No,0
5945,5966,No,0
5945,5990,No,0
5945,5990,No,0
5969,5966,No,0
5976,5989,No,0
6021,6015,No,0
5946,5966,No,0
5951,5991,No,0
5945,5990,No,0
5946,5965,No,0
5946,6040,No,0
5945,6015,No,0
6021,5990,No,0
5945,5990,No,0
5951,5965,No,0
5945,5989,No,0
5945,5991,No,0
5945,5990,No,0
5921,5966,No,0
5996,5966,No,0
5945,5966,No,0
5952,5989,No,0
5945,5990,No,0
5946,5990,No,0
5945,5990,No,0
5944,5991,No,0
6022,5990,No,0
5921,5991,No,0
5928,5991,No,0
5945,5990,No,0
5921,5991,No,0
5921,6016,No,0
5921,5990,No,0
5921,6066,No,0
5945,5990,No,0
5951,5990,No,0
5945,5990,No,0
5996,5990,No,0
6021,5990,No,0
5945,5965,No,0
5945,5991,No,0
5946,5966,No,0
6022,5966,No,0
5946,5990,No,0
5946,5990,No,0
5952,5990,No,0
5922,6014,No,0
5921,5990,No,0
5946,5990,No,0
5952,5990,No,0
6021,6015,No,0
5996,6040,No,0
5996,5991,No,0
5945,5991,No,0
6022,5990,No,0
6022,5990,No,0
5969,5966,No,0
5970,5991,No,0
5976,5990,No,0
6022,5990,No,0
5921,5990,No,0
5922,5991,No,0
5945,5990,No,0
5921,6014,No,0
5922,5990,No,0
5928,5990,No,0
5922,5991,No,0
5922,5991,No,0
5922,5991,No,0
6002,5990,No,0
5921,5990,No,0
5921,5991,No,0
5922,5990,No,0
5995,5990,No,0
5946,6040,No,0
5921,5991,No,0
5951,6041,No,0
5945,5990,No,0
5945,5991,No,0
5946,5966,No,0
5921,5966,No,0
5946,5990,No,0
5921,5990,No,0
5945,5991,No,0
6022,5991,No,0
6021,5991,No,0
